issue_key,tier,rule,file,baseline_line,status
AaCOHyTt9tFduPng09y1,T2,python:S3776,frigate/genai/plugins/ollama.py,435,open
AaCOHyTt9tFduPng09y3,T2,python:S3776,frigate/genai/plugins/ollama.py,516,open
AaCOHyTh9tFduPng09yu,T2,python:S3776,frigate/genai/plugins/openai.py,187,open
AaCOH0SF9tFduPng0-aa,T2,python:S3776,generate_config_translations.py,288,open
AaCOHzjp9tFduPng0-Na,T2,typescript:S3776,web/src/utils/configUtil.ts,565,open
AaCOHzww9tFduPng0-TC,T2,typescript:S2699,web/e2e/specs/settings/go2rtc-streams.spec.ts,205,open
AaCOHyT59tFduPng09y9,T2,python:S3776,frigate/genai/plugins/llama_cpp.py,661,open
AaCOHzqm9tFduPng0-Ph,T2,typescript:S3776,web/src/views/settings/DetectorsAndModelSettingsView.tsx,159,open
AaCOHydM9tFduPng092H,T2,python:S3776,frigate/api/app.py,1277,open
AaCOHyWR9tFduPng09zl,T2,python:S3776,frigate/embeddings/maintainer.py,499,open
AaCOH0SF9tFduPng0-aY,T2,python:S3776,generate_config_translations.py,38,open
AaCOHyZ49tFduPng090l,T2,python:S3776,frigate/api/media_auth.py,241,open
AaCOHyqj9tFduPng097E,T2,python:S3776,frigate/util/config.py,661,open
AaCOHyz89tFduPng099w,T2,python:S3776,frigate/track/tracked_object.py,130,open
AaCOHydM9tFduPng0914,T2,python:S3776,frigate/api/app.py,650,open
AaCOHy0Z9tFduPng0991,T2,python:S3776,frigate/video/ffmpeg.py,305,open
AaCOHzmy9tFduPng0-OX,T2,typescript:S3776,web/src/hooks/use-config-schema.ts,27,open
AaCOHyTt9tFduPng09yx,T2,python:S3776,frigate/genai/plugins/ollama.py,56,open
AaCOH0Iu9tFduPng0-Yd,T1,docker:S6506,docker/rocm/Dockerfile,16,source-addressed-awaiting-scan
AaCOHznP9tFduPng0-Oi,T2,typescript:S3776,web/src/hooks/use-config-override.ts,597,open
AaCOHznP9tFduPng0-Oj,T2,typescript:S3776,web/src/hooks/use-config-override.ts,712,open
AaCOHyaI9tFduPng090w,T2,python:S3776,frigate/api/media.py,184,open
AaCOHyqQ9tFduPng0965,T2,python:S3776,frigate/util/ffmpeg.py,68,open
AaCOHzhq9tFduPng0-MP,T2,typescript:S3776,web/src/pages/Replay.tsx,112,open
AaCOHysO9tFduPng097X,T2,python:S3776,frigate/comms/webpush.py,403,open
AaCX9b1D6BeFNClEQmzt,T2,python:S6890,frigate/record/export.py,14,source-addressed-awaiting-scan
